id,name,city,address_1,address_2,lat,lon
1006270,"Number's night club","Houston","300 Westheimer",,29.744602,-95.384796
1008124,"Light Way Schools","The Woodlands","5125 Shadow Bend Place",,30.17746,-95.504309
10083492,"Sparrow ","Houston","3701 Travis St",,29.73875,-95.380501
1012949,"Sam Houston Park, Downtown","Houston","1000 Bagby",,29.760066,-95.370089
1013329,"Banana Leaf","Houston ","9889 Bellaire #311",,29.704549,-95.554555
10148362,"CoInside","Houston","1919 Houston Avenue",,29.774986,-95.372643
10220202,"House of Creeps","Houston","807 William St",,29.768089,-95.353279
1024037,"Houston Center For Contemporary Craft","Houston","4848 Main Street",,29.730751,-95.386206
10251932,"Platform Houston","Houston","5504 Morningside Drive, Houston, TX 77005",,29.716442,-95.415161
1025384,"The Tasting Room","Houston","1101-18 Uptown Park Blvd.",,29.756697,-95.456846
1026364,"SSQQ","Houston","1431 West 20th St.  ",,29.803522,-95.425171
1033397,"Miller Outdoor Theater","Houston","100 Concert Drive (in Hermann Park)",,29.720644,-95.388718
10348732,"Dakota Lofts","Houston","711 William Street",,29.767176,-95.353874
10467982,"Microsoft Store - Galleria Mall","Houston","5085 Westheimer Road ((Store located in Galleria 1 - 2nd level above skating rink)",,29.760193,-95.369392
1063430,"The Rothko Chapel","Houston","3900 Yupon",,29.737824,-95.39572
10648752,"Brian O'Neill's Irish Pub","Houston","5555 Morningside Drive #100",,29.716146,-95.41465
1067193,"PJ's Sports Bar","Houston","614 W Gray St. ",,29.75362,-95.388736
1084246,"Lucky Strike Houston","Houston","1201 San Jacinto",,29.768657,-95.355625
11006652,"Junior League of Houston, Inc.","Houston","1811 Briar Oaks Lane",,29.748749,-95.450996
11016492,"Reliant Arena","Houston","1 One Reliant Park",,29.68593,-95.403343
11042742,"Crisp","Houston","2220 Bevis St",,29.806286,-95.422089
11086112,"Proof Bar Midtown","Houston","2600 Travis",,29.745935,-95.375229
11088232,"Top Golf","Houston","1030 Memorial Brook Blvd. Houston, TX 77084",,29.787441,-95.651237
11098842,"Ford Park","Beaumont","5115 IH-10 South",,30.080173,-94.126556
11211052,"The Corner Table ","Houston","2736 Virginia Street",,29.741512,-95.421417
11225902,"online","Houston","online",,29.994673,-95.571823
